Расстояние вдоль нити (пиксели),Яркость
0.0,57.55555555555556
1.1848681725874062,104.11111111111111
2.368721161604518,139.0
3.5516476486743995,128.22222222222223
4.7337318912505575,158.11111111111111
5.915053829366389,167.11111111111111
7.095689195769275,170.33333333333334
8.27570962918779,163.22222222222223
9.455182790488147,172.44444444444446
10.634172481485441,178.0
11.812738766185008,176.66666666666666
12.990938094239333,172.0
14.168823426416203,179.33333333333334
15.346444361885101,180.33333333333334
16.523847267139107,174.33333333333334
17.701075406381033,183.33333333333334
18.878169073213133,186.33333333333334
20.05516572348066,177.0
21.232100109130357,182.66666666666666
22.409004412954985,191.22222222222223
23.585908384105643,177.22222222222223
24.762839474263107,185.33333333333334
25.939822974368912,191.11111111111111
27.116882151826164,177.77777777777777
28.294038388088207,190.22222222222223
29.471311316561852,179.88888888888889
30.648718960759307,187.0
31.826277872639967,188.66666666666666
33.00400327108989,187.0
34.18190918049309,194.55555555555554
35.36000856935369,192.77777777777777
36.53831324354794,192.0
37.716825376249574,193.55555555555554
38.89553569871823,195.44444444444446
40.074434260233666,193.33333333333334
41.25351115347595,196.77777777777777
42.43275651508688,193.66666666666666
43.612160526234604,191.0
44.791713413181725,198.33333333333334
45.97140544785658,195.77777777777777
47.15122694842804,196.11111111111111
48.33116827988369,200.11111111111111
49.51121985461165,195.0
50.69137213298589,197.0
51.8716156239551,203.33333333333334
53.05194088563529,194.77777777777777
54.23233852590611,197.44444444444446
55.41279920301101,201.0
56.59331362616098,193.66666666666666
57.77387255614234,200.22222222222223
58.95446680592844,193.33333333333334
60.13508724129524,193.77777777777777
61.3157247814409,202.33333333333334
62.496370399609454,196.11111111111111
63.67701512371864,198.55555555555554
64.85765003699167,198.22222222222223
66.03826627859354,195.0
67.21885504427112,198.55555555555554
68.39940758699802,196.88888888888889
69.57991516769071,192.77777777777777
70.76036032623612,195.88888888888889
71.9407074653392,190.0
73.1209199792053,196.22222222222223
74.30096294138824,195.77777777777777
75.48080332865972,190.22222222222223
76.66041024558635,194.66666666666666
77.8397551498739,190.55555555555554
79.01881207852553,193.66666666666666
80.19755787484551,189.33333333333334
81.375972416302,190.11111111111111
82.55403884324568,191.88888888888889
83.7317437884587,177.88888888888889
84.90907760748824,186.33333333333334
86.08603460969387,184.0
87.26261328991329,176.22222222222223
88.43881656062273,184.22222222222223
89.61465198444057,175.88888888888889
90.79013200678985,181.66666666666666
91.96527418850478,177.88888888888889
93.14010143813073,179.33333333333334
94.31464224363152,179.66666666666666
95.48893090318123,176.66666666666666
96.66300775467792,171.22222222222223
97.83691940357824,172.22222222222223
99.01071894861013,175.0
100.18446620488035,170.44444444444446
101.35822792385159,163.0
102.53207719479592,164.22222222222223
103.7058849270351,162.88888888888889
104.87914621491463,164.55555555555554
106.0515860032598,156.11111111111111
107.22335261919149,158.11111111111111
108.39513513520502,153.0
109.5682788685482,145.22222222222223
110.74412574625624,161.77777777777777
111.91573955247732,162.88888888888889
113.07018809895776,163.33333333333334
114.19773432187358,161.0
115.29761137659146,154.11111111111111
116.37812439373327,151.11111111111111
117.45584225661273,145.0
118.55342213596828,139.88888888888889
119.68528353598214,143.88888888888889
120.85423476714945,140.55555555555554
122.05495692706599,129.77777777777777
123.27692042411982,134.77777777777777
124.50665094067634,126.66666666666667
125.72961589826077,134.22222222222223
126.93645045822069,126.77777777777777
128.12637592906808,120.33333333333333
129.30083148288327,115.77777777777777
130.4633953521094,100.11111111111111
131.6203399334475,97.44444444444444
132.78109456913432,86.11111111111111
133.95850268253463,60.666666666666664
