% Model,wire_with_a_probes.mph
% Version,COMSOL 6.2.0.339
% Date,"May 16 2025, 13:27"
% Table,Table 1 - Line Maximum 1
% I_w (A),Temperature (K)
0,293.15000000000015
0.1,324.2648345537716
0.2,488.1863946642395
0.30000000000000004,884.2444563347908
0.4,1105.1761195823226
0.5,1249.7219735777037
0.6000000000000001,1366.290879693434
0.7000000000000001,1470.035884000975
0.8,1568.0231132303925
0.9,1662.9717009338583
1,1755.049970462805
1.1,1844.8096762172956
1.2000000000000002,1932.430397058402
1.3,2018.5916713319573
1.4000000000000001,2103.2995020509525
1.5,2186.6994051321117
1.6,2268.894187813181
1.7000000000000002,2349.9560446739924
1.8,2429.9346908872085
1.9000000000000001,2508.865424981548
2,2586.7764202521166
